symbol,sector,change_pct,category
IKS,Information Technology,-1.2,neutral
IPCALAB,Healthcare,0.65,neutral
JBCHEPHARM,Healthcare,4.59,up_3_5
JKCEMENT,Construction Materials,1.26,neutral
JBMA,Automobile and Auto Components,0.91,neutral
JKTYRE,Automobile and Auto Components,-0.91,neutral
JMFINANCIL,Financial Services,-0.37,neutral
JSWCEMENT,Construction Materials,-0.33,neutral
JSWENERGY,Power,3.21,up_3_5
JSWINFRA,Services,1.73,neutral
JSWSTEEL,Metals & Mining,1.31,neutral
JPPOWER,Power,-0.2,neutral
J&KBANK,Financial Services,0.99,neutral
JINDALSAW,Capital Goods,-2.62,neutral
JSL,Metals & Mining,-1.04,neutral
JINDALSTEL,Metals & Mining,2.21,neutral
JIOFIN,Financial Services,-0.53,neutral
JUBLFOOD,Consumer Services,0.27,neutral
JUBLINGREA,Chemicals,-1.99,neutral
JUBLPHARMA,Healthcare,-2.03,neutral
JWL,Capital Goods,-1.02,neutral
JYOTHYLAB,Fast Moving Consumer Goods,-1.6,neutral
JYOTICNC,Capital Goods,0.28,neutral
KPRMILL,Textiles,-2.33,neutral
KEI,Capital Goods,-1.82,neutral
KPITTECH,Information Technology,2.16,neutral
KSB,Capital Goods,-0.31,neutral
KAJARIACER,Consumer Durables,-0.61,neutral
KPIL,Construction,0.3,neutral
KALYANKJIL,Consumer Durables,2.15,neutral
KARURVYSYA,Financial Services,0.11,neutral
KAYNES,Capital Goods,0.61,neutral
KEC,Construction,-0.13,neutral
KFINTECH,Financial Services,3.39,up_3_5
KIRLOSBROS,Capital Goods,0.29,neutral
KIRLOSENG,Capital Goods,2.33,neutral
KOTAKBANK,Financial Services,1.18,neutral
KIMS,Healthcare,-0.41,neutral
LTF,Financial Services,3.12,up_3_5
LTTS,Information Technology,0.26,neutral
LICHSGFIN,Financial Services,0.69,neutral
LTFOODS,Fast Moving Consumer Goods,-1.91,neutral
LTIM,Information Technology,0.06,neutral
LT,Construction,0.66,neutral
LATENTVIEW,Information Technology,-0.9,neutral
LAURUSLABS,Healthcare,0.18,neutral
THELEELA,Consumer Services,-1.68,neutral
LEMONTREE,Consumer Services,-1.36,neutral
LICI,Financial Services,0.78,neutral
LINDEINDIA,Chemicals,-1.91,neutral
LLOYDSME,Metals & Mining,-0.2,neutral
LODHA,Realty,2.26,neutral
LUPIN,Healthcare,1.01,neutral
MMTC,Services,-0.85,neutral
MRF,Automobile and Auto Components,-2.02,neutral
MGL,Oil Gas & Consumable Fuels,-0.18,neutral
MAHSCOOTER,Financial Services,1.74,neutral
